area_name,start,finsh,stage,source
gauteng-ekurhuleni-block-1,2022-12-09T20:00:00+02:00,2022-12-09T22:00:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
gauteng-ekurhuleni-block-1,2022-12-10T04:00:00+02:00,2022-12-10T04:59:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-07T15:00:00+02:00,2022-12-07T17:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-07T23:00:00+02:00,2022-12-08T01:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-08T01:00:00+02:00,2022-12-08T03:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-08T07:00:00+02:00,2022-12-08T11:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-08T15:00:00+02:00,2022-12-08T17:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-08T23:00:00+02:00,2022-12-09T01:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-09T05:00:00+02:00,2022-12-09T07:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-09T13:00:00+02:00,2022-12-09T17:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
kwazulu-natal-kodstad,2022-12-09T21:00:00+02:00,2022-12-09T23:30:00+02:00,5,"https://twitter.com/Eskom_SA/status/1600507455708037121"
free-state-oranjeville,2022-12-07T14:00:00+02:00,2022-12-07T16:30:00+02:00,6,"https://twitter.com/Eskom_SA/status/1600507455708037121"
